1950,0.198,0.398,0.155,0.201,0.29,0.43,0.859,0.47,0.47.1,878.7,15.4,1203.7,1,0,2.734367,6.778443,7.093155,-1.86433,.,-0.7550226,..1,0.099995,-2.302635,-1.619488
1951,0.209,0.41,0.164,0.207,0.29,0.45,0.881,0.449,0.449,925.0,16.0,1328.2,2,0,2.772589,6.829794,7.19158,-1.807889,-1.870803,-0.8007324,-0.7550226,0.1055195,-2.248859,-1.565421
1952,0.225,0.421,0.18,0.226,0.29,0.48,0.953,0.434,0.434,1015.9,14.8,1380.0,3,0,2.694627,6.92353,7.229839,-1.714798,-1.832582,-0.8347108,-0.8007324,0.1207838,-2.113753,-1.491655
1953,0.311,0.48,0.229,0.231,0.29,0.5,0.97,0.428,0.428,1081.3,14.5,1435.3,4,0,2.674149,6.985919,7.269129,-1.474033,-1.910543,-0.8486321,-0.8347108,0.1496688,-1.899331,-1.167962
1954,0.313,0.508,0.211,0.224,0.29,0.52,1.0,0.415,0.415,1104.4,15.3,1416.2,5,0,2.727853,7.007058,7.255733,-1.555897,-1.931022,-0.8794768,-0.8486321,0.1380157,-1.980387,-1.161552
1955,0.369,0.547,0.231,0.236,0.29,0.57,1.003,0.419,0.419,1138.5,13.2,1494.9,6,0,2.580217,7.037467,7.309814,-1.465338,-1.877317,-0.8698844,-0.8794768,0.1592029,-1.837576,-0.9969587
1956,0.447,0.601,0.257,0.245,0.29,0.64,1.011,0.412,0.412,1185.1,13.3,1525.6,7,0,2.587764,7.077582,7.330143,-1.358679,-2.024953,-0.8867319,-0.8698844,0.1822213,-1.702533,-0.8051967
1957,0.488,0.685,0.251,0.244,0.29,0.76,1.035,0.412,0.412,1221.8,12.8,1551.1,8,0,2.549445,7.10808,7.34672,-1.382302,-2.017406,-0.8867319,-0.8867319,0.1738277,-1.749691,-0.7174399
1958,0.555,0.716,0.258,0.238,0.29,0.83,1.089,0.397,0.397,1258.4,14.2,1539.2,9,0,2.653242,7.137597,7.339018,-1.354796,-2.055725,-0.9238189,-0.8867319,0.1844832,-1.690197,-0.5887871
1959,0.588,0.789,0.266,0.26,0.29,0.87,1.11,0.394,0.394,1363.6,13.3,1629.1,10,0,2.587764,7.217884,7.395783,-1.324259,-1.951928,-0.9314044,-0.9238189,0.1937643,-1.641113,-0.5310283
1960,0.616,0.84,0.268,0.27,0.29,0.92,1.138,0.403,0.403,1473.2,11.8,1665.3,11,0,2.4681,7.295192,7.41776,-1.316768,-2.017406,-0.9088187,-0.9314044,0.198,-1.619488,-0.4845083
1961,0.608,0.875,0.251,0.269,0.29,0.99,1.173,0.397,0.397,1562.8,12.7,1708.7,12,0,2.541602,7.354234,7.443488,-1.382302,-2.137071,-0.9238189,-0.9088187,0.1869166,-1.677093,-0.4975804
1962,0.707,0.933,0.27,0.279,0.29,1.06,1.216,0.385,0.385,1683.9,12.8,1799.4,13,0,2.549445,7.428868,7.495209,-1.309333,-2.063568,-0.9545119,-0.9238189,0.211418,-1.553918,-0.3467246
1963,0.723,1.036,0.255,0.279,0.29,1.13,1.247,0.395,0.395,1820.7,11.0,1873.3,14,0,2.397895,7.506976,7.535457,-1.366492,-2.055725,-0.9288695,-0.9545119,0.1947075,-1.636257,-0.3243461
