430.6,4570.2,186.9,9.42,4.09,20900000.0,8.427312,6.06518
59.0,2830.0,467.0,2.08,16.5,8008900.0,7.948032,4.077538
23.5,596.8,107.4,3.94,18.0,356170.2,6.391582,3.157
3.5,133.6,-4.3,2.62,-3.22,17848.96,4.89485,1.252763
1.7,42.0,8.0,4.05,19.05,1764.0,3.73767,0.5306283
8.4,390.0,47.3,2.15,12.13,152100.0,5.966147,2.128232
2.5,93.9,0.9,2.66,0.96,8817.21,4.542231,0.9162908
39.9,907.9,77.4,4.39,8.53,824282.4,6.811134,3.686376
1136.0,19773.0,2563.0,5.75,12.96,391000000.0,9.892073,7.035269
1428.0,39709.0,4154.0,3.6,10.46,1580000000.0,10.58933,7.26403
45.3,2936.5,93.7,1.54,3.19,8623032.0,7.984974,3.813307
65.2,2513.8,355.4,2.59,14.14,6319191.0,7.829551,4.177459
20.3,1124.8,45.3,1.8,4.03,1265175.0,7.025361,3.010621
15.6,921.6,4.1,1.69,0.44,849346.5,6.826111,2.747271
74.0,2432.6,132.4,3.04,5.44,5917543.0,7.796716,4.304065
147.5,6754.0,329.0,2.18,4.87,45600000.0,8.81789,4.993828
29.2,1066.3,289.9,2.74,27.19,1136996.0,6.97195,3.374169
92.2,3199.9,163.2,2.88,5.1,10200000.0,8.070875,4.52396
3.7,150.0,32.6,2.47,21.73,22500.0,5.010635,1.308333
19.4,509.7,83.8,3.81,16.44,259794.1,6.233822,2.965273
74.4,1452.7,271.2,5.12,18.67,2110337.0,7.281179,4.309456
612.0,8995.0,809.0,6.8,8.99,80900000.0,9.104424,6.416732
45.3,1212.3,215.0,3.74,17.73,1469671.0,7.100275,3.813307
11.0,906.6,154.8,1.21,17.07,821923.5,6.809701,2.397895
66.0,2592.0,116.0,2.55,4.48,6718464.0,7.860185,4.189655
10.4,201.5,23.0,5.16,11.41,40602.25,5.305789,2.341806
48.9,2617.8,60.5,1.87,2.31,6852877.0,7.87009,3.889777
6.1,502.2,18.4,1.21,3.66,252204.9,6.218998,1.808289
178.2,2824.0,313.0,6.31,11.08,7974976.0,7.94591,5.182907
3.0,292.2,6.4,1.03,2.19,85380.84,5.677439,1.098612
191.0,7621.0,626.0,2.51,8.21,58100000.0,8.938663,5.252274
26.0,1631.5,105.8,1.59,6.48,2661792.0,7.397255,3.258096
